"specialization","index"
"Разработка веб-приложений",1
"Разработка мобильных приложений",2
"Искусственный интеллект",3
"Машинное обучение",4
"Наука о данных",5
"Кибербезопасность",6
"Облачные вычисления",7
"DevOps",8
"Блокчейн",9
"Дополненная и виртуальная реальность",10
"Интернет вещей",11
"Тестирование программного обеспечения",12
"Дизайн пользовательского интерфейса и пользовательского опыта",13
"Системный анализ",14
"Сетевые технологии",15
"Базы данных",16
"Графический дизайн",17
"Аналитика бизнес-процессов",18
"Управление проектами в IT",19
"IT-консалтинг",20
"Биоинформатика",21
"Квантовые вычисления",22
